image,k,space,vifp,psnr,ssim,dE00,lpips_alex,lpips_vgg
bosnian_pine_needle,4,rgb,0.208531,19.705232,0.719041,8.857986,0.180697,0.290183
bosnian_pine_needle,4,xyz,0.148240,18.063974,0.620523,9.983667,0.336231,0.387221
bosnian_pine_needle,16,luv,0.310915,22.416249,0.810031,4.806824,0.097955,0.166658
bosnian_pine_needle,16,rgb,0.388190,25.658358,0.885137,4.621418,0.057260,0.130528
bosnian_pine_needle,16,xyz,0.308072,22.865343,0.816267,6.363215,0.110209,0.160641
bosnian_pine_needle,64,luv,0.434409,26.781807,0.898288,2.852035,0.043786,0.100797
bosnian_pine_needle,64,rgb,0.530294,30.262478,0.946651,2.929569,0.017077,0.057500
bosnian_pine_needle,64,xyz,0.448553,27.035024,0.908884,3.990032,0.037875,0.068551
bosnian_pine_needle,256,luv,0.548685,30.265567,0.941274,1.778010,0.019372,0.059239
bosnian_pine_needle,256,rgb,0.650086,34.386589,0.974588,1.883368,0.004887,0.022126
bosnian_pine_needle,256,xyz,0.551285,30.184908,0.944568,2.702289,0.017876,0.031164
buggy,4,luv,0.147118,20.334632,0.702808,7.528206,0.320984,0.447930
buggy,4,rgb,0.188550,21.586521,0.726232,8.348249,0.317150,0.462321
buggy,4,xyz,0.144436,19.939524,0.682601,9.547540,0.366014,0.505729
buggy,16,luv,0.339650,26.880978,0.798184,3.458546,0.178413,0.332573
buggy,16,rgb,0.388246,28.486539,0.838897,3.699587,0.163358,0.328001
buggy,16,xyz,0.304371,25.981543,0.769221,4.602926,0.200726,0.388125
buggy,64,luv,0.506093,32.511338,0.873249,1.992885,0.100821,0.264334
buggy,64,rgb,0.600076,35.369197,0.920546,2.204803,0.065420,0.231497
buggy,64,xyz,0.549503,31.955341,0.881430,2.437200,0.067623,0.216067
buggy,256,luv,0.648188,36.748820,0.921417,1.234918,0.059205,0.188114
buggy,256,rgb,0.739272,40.301776,0.963646,1.485610,0.019932,0.114670
buggy,256,xyz,0.697771,35.135577,0.927052,1.675671,0.025751,0.114600
calaveras,4,luv,0.130679,13.467592,0.351270,19.200527,0.362279,0.506740
calaveras,4,rgb,0.174657,15.338432,0.444049,18.709924,0.323700,0.492192
calaveras,4,xyz,0.142430,13.166696,0.370511,23.403057,0.410077,0.595821
calaveras,16,luv,0.246714,18.454637,0.564386,10.116703,0.173819,0.304129
calaveras,16,rgb,0.310096,20.848572,0.659390,9.244044,0.113170,0.241813
calaveras,16,xyz,0.239175,16.768909,0.526132,15.542917,0.217840,0.376015
calaveras,64,luv,0.367002,22.661855,0.708577,5.503789,0.084478,0.172318
calaveras,64,rgb,0.455278,25.982736,0.815683,5.467059,0.035765,0.122607
calaveras,64,xyz,0.370428,21.132383,0.684357,8.355700,0.088453,0.184904
calaveras,256,luv,0.501128,26.890948,0.819122,3.159459,0.033601,0.092524
calaveras,256,rgb,0.601723,30.853802,0.918682,3.122549,0.008760,0.052945
calaveras,256,xyz,0.481574,24.364711,0.774433,5.254179,0.042201,0.103706
carrots,4,luv,0.218173,17.771679,0.569222,9.933001,0.334710,0.498533
carrots,4,rgb,0.317316,20.052801,0.757757,9.905575,0.254841,0.423402
carrots,4,xyz,0.274397,18.792954,0.626954,10.881325,0.355826,0.495576
carrots,16,luv,0.371836,23.364873,0.821379,5.215190,0.100194,0.251768
carrots,16,rgb,0.492881,26.041442,0.905904,6.096972,0.076668,0.184720
carrots,16,xyz,0.443007,23.463326,0.854942,7.385939,0.149674,0.280781
carrots,64,luv,0.519158,27.916026,0.919630,3.064132,0.039273,0.128874
carrots,64,rgb,0.632589,31.697402,0.959722,3.272154,0.022525,0.076058
carrots,64,xyz,0.580667,27.943824,0.934211,4.657903,0.049954,0.103826
carrots,256,luv,0.647578,32.119261,0.962519,1.871830,0.013991,0.060846
carrots,256,rgb,0.747741,36.269637,0.983044,2.059601,0.007185,0.032343
carrots,256,xyz,0.683086,32.135448,0.969683,3.010985,0.019924,0.042551
chalk_pastels,4,luv,0.065328,17.822407,0.400123,9.343186,0.558623,0.650612
chalk_pastels,4,rgb,0.209558,19.830476,0.613716,9.347555,0.332534,0.505649
chalk_pastels,4,xyz,0.151985,18.262497,0.541103,8.932822,0.397601,0.565077
chalk_pastels,16,luv,0.272825,24.017359,0.711778,4.748173,0.170906,0.386674
chalk_pastels,16,rgb,0.380897,26.093226,0.817402,4.930851,0.096261,0.268099
chalk_pastels,16,xyz,0.393062,21.863342,0.806588,6.019014,0.121011,0.246959
chalk_pastels,64,luv,0.461845,29.665045,0.865265,2.432762,0.045709,0.155554
chalk_pastels,64,rgb,0.553012,32.436443,0.913778,2.513828,0.027411,0.102325
chalk_pastels,64,xyz,0.531747,28.063750,0.878353,3.245343,0.042789,0.117178
chalk_pastels,256,luv,0.619592,34.159554,0.931853,1.483272,0.016053,0.062348
chalk_pastels,256,rgb,0.717335,37.461151,0.966132,1.561465,0.007179,0.035155
chalk_pastels,256,xyz,0.678259,32.963193,0.934245,2.091250,0.013479,0.042537
chicken_dish,4,luv,0.127970,17.396322,0.429150,12.431620,0.476989,0.616773
chicken_dish,4,rgb,0.232618,19.517782,0.587752,13.267707,0.407960,0.597828
chicken_dish,4,xyz,0.229248,18.227346,0.561209,13.735613,0.492117,0.629378
chicken_dish,16,luv,0.267390,22.459559,0.637906,6.094137,0.205916,0.455381
chicken_dish,16,rgb,0.348181,25.251535,0.740240,5.937932,0.163404,0.399795
chicken_dish,16,xyz,0.362328,21.405851,0.706140,10.445749,0.273759,0.435615
chicken_dish,64,luv,0.397738,26.384448,0.767789,3.528339,0.097467,0.278871
chicken_dish,64,rgb,0.510848,30.319404,0.865406,3.553469,0.054322,0.197178
chicken_dish,64,xyz,0.458915,26.692216,0.795713,5.125239,0.088097,0.207097
chicken_dish,256,luv,0.529184,30.017621,0.849096,2.084458,0.041240,0.123572
chicken_dish,256,rgb,0.653009,34.906390,0.940710,2.213245,0.017558,0.066604
chicken_dish,256,xyz,0.564167,30.305541,0.860026,3.400962,0.037521,0.092602
chili_peppers,4,luv,0.129092,15.045271,0.434317,16.523893,0.373734,0.561470
chili_peppers,4,rgb,0.161177,16.766490,0.513541,16.831417,0.322831,0.562209
chili_peppers,4,xyz,0.182775,15.374192,0.544043,18.352935,0.402254,0.598888
chili_peppers,16,luv,0.221117,19.475215,0.602781,8.944337,0.190780,0.377256
chili_peppers,16,rgb,0.322897,22.372328,0.758907,9.977184,0.132674,0.287833
chili_peppers,16,xyz,0.276566,18.787433,0.683849,14.485004,0.235333,0.379134
chili_peppers,64,luv,0.360944,23.940777,0.770904,5.138466,0.092499,0.214958
chili_peppers,64,rgb,0.466125,27.402547,0.879161,5.393475,0.047987,0.142475
chili_peppers,64,xyz,0.387282,22.927292,0.797258,8.850011,0.093035,0.179406
chili_peppers,256,luv,0.498449,28.140107,0.873232,3.058532,0.041055,0.118134
chili_peppers,256,rgb,0.615652,32.162633,0.951626,3.386837,0.015302,0.064663
chili_peppers,256,xyz,0.522983,27.300259,0.887511,5.312569,0.029990,0.072763
clownfish,4,luv,0.143894,17.576703,0.491060,12.294001,0.448253,0.573732
clownfish,4,rgb,0.215194,19.140699,0.609468,12.595163,0.390931,0.543066
clownfish,4,xyz,0.195628,17.636325,0.563406,14.179181,0.451475,0.606381
clownfish,16,luv,0.250003,23.557200,0.657638,6.429359,0.280592,0.442137
clownfish,16,rgb,0.365916,26.332244,0.787066,6.508523,0.216015,0.384748
clownfish,16,xyz,0.351022,23.913063,0.712020,8.839114,0.239840,0.422368
clownfish,64,luv,0.383985,27.973597,0.790780,3.837342,0.164960,0.319890
clownfish,64,rgb,0.506114,30.906327,0.882278,4.418480,0.103595,0.235924
