image,method,n_colors,psnr,ssim,time_ms,png_bytes
kodim04.png,kmeans,128,37.674,0.9575,1712.8,168372
kodim04.png,som,128,23.513,0.8468,2361.3,233576
kodim04.png,mediancut,256,37.246,0.965,112.3,242311
kodim04.png,maxcoverage,256,34.744,0.8989,133.1,156450
kodim04.png,fast,256,36.474,0.9366,4.8,170587
kodim04.png,kmeans,256,40.082,0.9735,3049.2,218958
kodim04.png,som,256,23.1,0.8566,5037.0,284318
kodim05.png,mediancut,16,25.099,0.8867,182.3,127436
kodim05.png,maxcoverage,16,19.372,0.6239,63.9,90413
kodim05.png,fast,16,20.656,0.7466,6.4,100601
kodim05.png,kmeans,16,27.302,0.8756,370.8,113902
kodim05.png,som,16,20.579,0.8162,277.2,124753
kodim05.png,mediancut,32,26.714,0.9146,181.8,158783
kodim05.png,maxcoverage,32,22.768,0.7028,72.0,102488
kodim05.png,fast,32,24.963,0.8054,5.8,91379
kodim05.png,kmeans,32,30.086,0.9268,580.2,138285
kodim05.png,som,32,20.802,0.8448,637.6,160709
kodim05.png,mediancut,64,28.553,0.9379,172.2,192327
kodim05.png,maxcoverage,64,25.007,0.7805,96.2,123066
kodim05.png,fast,64,26.987,0.8664,6.2,162571
kodim05.png,kmeans,64,32.63,0.9519,1027.3,172097
kodim05.png,som,64,20.841,0.8472,1405.6,209843
kodim05.png,mediancut,128,30.072,0.9554,265.3,238081
kodim05.png,maxcoverage,128,28.384,0.8657,181.4,137247
kodim05.png,fast,128,30.673,0.9307,7.4,208918
kodim05.png,kmeans,128,34.961,0.9681,1777.5,208448
kodim05.png,som,128,20.417,0.8406,2613.4,257754
kodim05.png,mediancut,256,32.296,0.9677,239.8,287958
kodim05.png,maxcoverage,256,30.396,0.8977,261.6,175798
kodim05.png,fast,256,33.331,0.9548,7.5,235168
kodim05.png,kmeans,256,37.125,0.9799,3064.0,260201
kodim05.png,som,256,21.249,0.8439,4752.0,299944
kodim06.png,mediancut,16,30.26,0.9099,68.5,103846
kodim06.png,maxcoverage,16,23.417,0.7315,36.2,72188
kodim06.png,fast,16,26.367,0.8304,6.7,87580
kodim06.png,kmeans,16,31.119,0.9133,287.2,94477
kodim06.png,som,16,23.158,0.8866,321.8,100761
kodim06.png,mediancut,32,32.795,0.9448,84.3,126309
kodim06.png,maxcoverage,32,27.218,0.8288,46.7,85497
kodim06.png,fast,32,28.566,0.8614,4.3,97784
kodim06.png,kmeans,32,34.206,0.9452,532.0,114914
kodim06.png,som,32,22.878,0.8949,573.0,118558
kodim06.png,mediancut,64,35.0,0.9661,72.4,162806
kodim06.png,maxcoverage,64,29.745,0.8586,43.3,109854
kodim06.png,fast,64,32.17,0.9222,4.9,147450
kodim06.png,kmeans,64,36.87,0.9657,819.0,147856
kodim06.png,som,64,23.217,0.8898,1194.8,150955
kodim06.png,mediancut,128,37.059,0.978,94.7,207317
kodim06.png,maxcoverage,128,32.213,0.8994,80.4,131044
kodim06.png,fast,128,35.833,0.9531,5.8,167726
kodim06.png,kmeans,128,39.196,0.9784,1423.6,193004
kodim06.png,som,128,24.156,0.9281,2284.6,207924
kodim06.png,mediancut,256,39.085,0.9851,87.4,258449
kodim06.png,maxcoverage,256,35.246,0.9359,136.8,171074
kodim06.png,fast,256,36.835,0.9574,6.0,171943
kodim06.png,kmeans,256,41.314,0.9862,3348.5,243434
kodim06.png,som,256,22.611,0.8999,5190.2,235888
kodim07.png,mediancut,16,26.9,0.8883,90.5,83128
kodim07.png,maxcoverage,16,22.631,0.7566,37.6,47450
kodim07.png,fast,16,25.6,0.799,5.3,64865
kodim07.png,kmeans,16,30.044,0.8852,299.5,64748
kodim07.png,som,16,24.029,0.8465,274.6,79766
kodim07.png,mediancut,32,29.481,0.9137,98.4,99082
kodim07.png,maxcoverage,32,26.25,0.8107,55.4,59449
kodim07.png,fast,32,27.664,0.841,5.2,80504
kodim07.png,kmeans,32,33.032,0.9259,669.8,81559
kodim07.png,som,32,24.596,0.8883,626.4,107726
kodim07.png,mediancut,64,31.742,0.9343,90.8,132731
kodim07.png,maxcoverage,64,28.683,0.8247,58.9,81320
kodim07.png,fast,64,30.807,0.9042,4.4,115658
kodim07.png,kmeans,64,35.702,0.9533,891.1,109627
kodim07.png,som,64,24.564,0.8884,1210.3,155629
kodim07.png,mediancut,128,34.256,0.9587,111.7,169554
kodim07.png,maxcoverage,128,31.143,0.8721,141.9,97776
kodim07.png,fast,128,34.018,0.9383,5.3,138845
kodim07.png,kmeans,128,38.259,0.9709,1548.8,149009
kodim07.png,som,128,24.093,0.876,2295.1,209232
kodim07.png,mediancut,256,36.962,0.9742,107.8,221343
kodim07.png,maxcoverage,256,33.937,0.9043,152.7,131600
kodim07.png,fast,256,36.707,0.9554,5.4,152967
kodim07.png,kmeans,256,40.487,0.9814,3039.7,198373
kodim07.png,som,256,23.964,0.8748,5083.8,253015
kodim08.png,mediancut,16,27.2,0.9057,171.6,116878
kodim08.png,maxcoverage,16,23.601,0.7788,60.6,99733
kodim08.png,fast,16,24.208,0.8198,9.7,94383
kodim08.png,kmeans,16,29.005,0.912,484.4,105884
kodim08.png,som,16,21.586,0.8502,422.9,115119
kodim08.png,mediancut,32,30.419,0.9415,172.6,156348
kodim08.png,maxcoverage,32,26.301,0.8545,72.8,115344
kodim08.png,fast,32,26.459,0.8611,4.6,125501
kodim08.png,kmeans,32,31.749,0.9421,732.6,143045
kodim08.png,som,32,21.745,0.8548,829.8,147884
kodim08.png,mediancut,64,32.679,0.9611,216.0,201230
kodim08.png,maxcoverage,64,29.031,0.8961,154.3,150559
kodim08.png,fast,64,28.612,0.9131,5.3,180401
kodim08.png,kmeans,64,34.428,0.9667,1557.1,184676
kodim08.png,som,64,21.045,0.8739,1669.2,195316
kodim08.png,mediancut,128,35.109,0.9749,162.2,247151
kodim08.png,maxcoverage,128,32.041,0.9322,157.3,192632
kodim08.png,fast,128,32.189,0.9491,5.6,224444
kodim08.png,kmeans,128,36.759,0.9789,2257.0,227825
kodim08.png,som,128,23.483,0.9019,3041.8,248467
kodim08.png,mediancut,256,37.505,0.9839,230.8,303108
kodim08.png,maxcoverage,256,34.566,0.9556,253.8,237058
kodim08.png,fast,256,35.926,0.9706,4.9,246067
kodim08.png,kmeans,256,38.947,0.9867,4087.4,288208
kodim08.png,som,256,22.721,0.8866,6075.7,289353
kodim09.png,mediancut,16,26.397,0.8934,101.5,87131
kodim09.png,maxcoverage,16,23.227,0.7627,55.8,43554
kodim09.png,fast,16,24.75,0.7475,7.0,55562
kodim09.png,kmeans,16,31.571,0.8932,394.0,70283
kodim09.png,som,16,23.26,0.8639,387.4,84378
kodim09.png,mediancut,32,28.116,0.9244,121.0,120606
kodim09.png,maxcoverage,32,24.211,0.7524,48.3,49358
kodim09.png,fast,32,26.282,0.7473,5.6,66189
kodim09.png,kmeans,32,34.766,0.9377,2178.1,95201
kodim09.png,som,32,23.819,0.9007,1535.6,122179
kodim09.png,mediancut,64,31.017,0.9523,187.2,160595
kodim09.png,maxcoverage,64,27.417,0.776,119.3,76349
kodim09.png,fast,64,32.636,0.9181,13.8,121233
kodim09.png,kmeans,64,37.501,0.9589,1938.4,131671
kodim09.png,som,64,23.277,0.9037,1988.8,164612
kodim09.png,mediancut,128,34.111,0.9655,114.9,205472
kodim09.png,maxcoverage,128,31.215,0.8547,226.9,80449
kodim09.png,fast,128,35.526,0.9356,8.2,133766
kodim09.png,kmeans,128,39.944,0.9711,2827.2,170137
kodim09.png,som,128,22.431,0.8769,3624.3,212695
kodim09.png,mediancut,256,36.434,0.975,159.1,259422
kodim09.png,maxcoverage,256,32.901,0.8607,219.0,112530
kodim09.png,fast,256,37.45,0.9452,7.5,140286
kodim09.png,kmeans,256,42.06,0.9816,5688.3,221649
kodim09.png,som,256,21.807,0.8544,9021.3,233868
kodim10.png,mediancut,16,28.709,0.8764,133.0,88140
kodim10.png,maxcoverage,16,21.782,0.6686,81.0,48742
kodim10.png,fast,16,25.663,0.7583,10.8,55302
kodim10.png,kmeans,16,31.414,0.8795,608.1,74532
kodim10.png,som,16,23.17,0.8328,434.0,84252
kodim10.png,mediancut,32,31.446,0.9185,128.6,114865
kodim10.png,maxcoverage,32,25.192,0.7442,68.0,53404
kodim10.png,fast,32,26.8,0.7781,10.6,64863
kodim10.png,kmeans,32,34.226,0.9209,730.3,100433
kodim10.png,som,32,22.586,0.8589,600.3,114461
kodim10.png,mediancut,64,33.964,0.9477,76.5,152259
kodim10.png,maxcoverage,64,28.002,0.7808,45.6,74602
kodim10.png,fast,64,31.938,0.8885,5.2,131168
kodim10.png,kmeans,64,37.005,0.9467,1025.0,131728
kodim10.png,som,64,23.713,0.889,1163.8,166171
kodim10.png,mediancut,128,35.5,0.9634,71.7,199207
kodim10.png,maxcoverage,128,30.195,0.815,86.8,96261
kodim10.png,fast,128,35.926,0.9267,6.5,149020
kodim10.png,kmeans,128,39.554,0.9673,1405.5,178309
kodim10.png,som,128,23.106,0.8786,2151.4,223320
kodim10.png,mediancut,256,37.593,0.9768,91.0,255872
kodim10.png,maxcoverage,256,33.334,0.8802,103.2,124444
kodim10.png,fast,256,36.599,0.9301,4.4,152844
kodim10.png,kmeans,256,41.801,0.9803,2826.8,229922
kodim10.png,som,256,22.088,0.8589,5075.4,263289
kodim11.png,mediancut,16,27.198,0.8768,109.0,100514
kodim11.png,maxcoverage,16,21.131,0.568,50.5,63774
kodim11.png,fast,16,24.424,0.7564,5.2,73354
kodim11.png,kmeans,16,30.342,0.8828,352.9,77814
kodim11.png,som,16,23.266,0.8356,299.3,98939
kodim11.png,mediancut,32,29.512,0.9201,91.8,120786
kodim11.png,maxcoverage,32,26.564,0.7439,46.6,75612
kodim11.png,fast,32,28.477,0.8389,4.2,92565
kodim11.png,kmeans,32,33.226,0.9308,557.6,105410
kodim11.png,som,32,23.09,0.845,554.8,127684
kodim11.png,mediancut,64,31.617,0.9483,85.5,160146
kodim11.png,maxcoverage,64,27.902,0.7752,57.0,103118
kodim11.png,fast,64,30.993,0.904,3.5,140485
kodim11.png,kmeans,64,35.878,0.9552,882.1,139353
kodim11.png,som,64,24.022,0.8744,1164.9,173993
kodim11.png,mediancut,128,34.293,0.9671,100.5,199501
kodim11.png,maxcoverage,128,31.525,0.8577,89.1,123652
kodim11.png,fast,128,34.918,0.9476,4.3,165037
kodim11.png,kmeans,128,38.322,0.9742,1479.0,181338
kodim11.png,som,128,24.75,0.9039,2209.9,228616
kodim11.png,mediancut,256,36.67,0.979,123.0,245893
kodim11.png,maxcoverage,256,34.535,0.9187,137.0,154567
kodim11.png,fast,256,36.91,0.9576,4.4,174159
kodim11.png,kmeans,256,40.516,0.9838,2919.7,226198
kodim11.png,som,256,23.333,0.8667,4428.9,249518
kodim12.png,mediancut,16,28.613,0.8546,67.8,81916
kodim12.png,maxcoverage,16,21.874,0.6401,39.6,52849
kodim12.png,fast,16,26.001,0.7968,3.8,56630
kodim12.png,kmeans,16,30.543,0.8505,349.7,63192
kodim12.png,som,16,21.842,0.8506,338.3,77666
kodim12.png,mediancut,32,30.436,0.8993,85.3,100613
kodim12.png,maxcoverage,32,27.3,0.7765,39.0,46035
kodim12.png,fast,32,28.408,0.8061,4.3,67139
kodim12.png,kmeans,32,34.214,0.9098,481.0,78979
kodim12.png,som,32,21.451,0.8691,711.4,94750
kodim12.png,mediancut,64,32.77,0.9371,95.7,133547
kodim12.png,maxcoverage,64,28.853,0.7851,61.6,66022
kodim12.png,fast,64,31.705,0.8733,5.3,108869
kodim12.png,kmeans,64,36.934,0.9506,1029.5,114465
kodim12.png,som,64,22.415,0.8904,1378.8,140525
kodim12.png,mediancut,128,35.318,0.9602,98.2,174528
kodim12.png,maxcoverage,128,31.134,0.8318,85.8,85209
kodim12.png,fast,128,35.615,0.9272,6.4,125299
kodim12.png,kmeans,128,39.351,0.9672,1743.0,154452
kodim12.png,som,128,23.157,0.8962,2718.3,183900
kodim12.png,mediancut,256,37.311,0.973,104.4,222826
kodim12.png,maxcoverage,256,34.491,0.8903,144.2,116093
kodim12.png,fast,256,37.104,0.9372,5.4,131328
kodim12.png,kmeans,256,41.579,0.9786,3667.1,193397
kodim12.png,som,256,22.262,0.8923,5907.1,223061
kodim13.png,mediancut,16,27.941,0.9398,152.5,150374
kodim13.png,maxcoverage,16,21.503,0.6878,57.0,112735
kodim13.png,fast,16,25.916,0.8477,7.3,123168
kodim13.png,kmeans,16,30.213,0.9435,470.7,140813
kodim13.png,som,16,21.714,0.8089,347.8,141771
kodim13.png,mediancut,32,30.303,0.9571,187.0,187243
kodim13.png,maxcoverage,32,25.318,0.8152,75.7,118198
kodim13.png,fast,32,26.854,0.8735,7.0,138624
kodim13.png,kmeans,32,32.576,0.9613,695.2,172261
kodim13.png,som,32,21.8,0.837,742.1,174172
kodim13.png,mediancut,64,32.705,0.97,156.5,222773
kodim13.png,maxcoverage,64,27.795,0.8622,104.4,151242
kodim13.png,fast,64,29.819,0.9293,6.6,203516
kodim13.png,kmeans,64,35.032,0.9751,1034.7,208304
kodim13.png,som,64,21.785,0.8441,1616.7,213529
kodim13.png,mediancut,128,35.26,0.9791,170.6,268640
kodim13.png,maxcoverage,128,31.267,0.9331,148.9,191352
kodim13.png,fast,128,33.689,0.964,7.2,239503
kodim13.png,kmeans,128,37.151,0.9844,2081.8,254095
kodim13.png,som,128,20.694,0.848,3482.4,257818
kodim13.png,mediancut,256,37.249,0.9866,167.0,320153
kodim13.png,maxcoverage,256,33.601,0.9531,270.3,231837
kodim13.png,fast,256,35.979,0.9746,7.1,251150
kodim13.png,kmeans,256,39.186,0.9899,3929.4,307420
kodim13.png,som,256,23.589,0.8943,5795.0,297779
kodim14.png,mediancut,16,23.127,0.8196,180.4,109145
kodim14.png,maxcoverage,16,21.151,0.6055,58.8,64209
kodim14.png,fast,16,22.428,0.7187,5.7,91933
kodim14.png,kmeans,16,28.02,0.854,335.3,96350
kodim14.png,som,16,21.409,0.7817,331.2,105976
kodim14.png,mediancut,32,27.569,0.8961,204.0,137689
kodim14.png,maxcoverage,32,23.693,0.679,84.5,83063
kodim14.png,fast,32,25.783,0.7642,5.7,81703
kodim14.png,kmeans,32,31.058,0.9172,680.3,116124
kodim14.png,som,32,22.406,0.8299,815.7,137249
kodim14.png,mediancut,64,29.969,0.9314,199.4,177488
kodim14.png,maxcoverage,64,25.244,0.7115,113.1,105016
kodim14.png,fast,64,29.122,0.8817,5.4,153102
kodim14.png,kmeans,64,33.583,0.952,1140.7,155185
kodim14.png,som,64,21.968,0.8249,1455.6,187606
kodim14.png,mediancut,128,32.332,0.9532,200.0,220483
kodim14.png,maxcoverage,128,29.236,0.8407,195.9,127586
kodim14.png,fast,128,31.539,0.9279,7.7,187139
kodim14.png,kmeans,128,35.852,0.9668,2073.1,196564
kodim14.png,som,128,21.635,0.7871,3148.8,235214
kodim14.png,mediancut,256,34.38,0.9695,273.3,275435
kodim14.png,maxcoverage,256,31.474,0.8853,379.7,160605
kodim14.png,fast,256,34.219,0.952,8.9,210386
kodim14.png,kmeans,256,38.086,0.9794,3949.8,245707
kodim14.png,som,256,21.308,0.8021,5686.5,295344
kodim15.png,mediancut,16,27.183,0.8259,155.0,66008
kodim15.png,maxcoverage,16,21.521,0.6235,61.6,50086
kodim15.png,fast,16,23.413,0.7307,8.1,49987
kodim15.png,kmeans,16,28.98,0.8275,310.1,57118
kodim15.png,som,16,22.088,0.7912,422.5,56981
kodim15.png,mediancut,32,29.609,0.8894,175.8,99536
kodim15.png,maxcoverage,32,23.912,0.671,76.7,60089
kodim15.png,fast,32,25.877,0.7636,6.5,48284
kodim15.png,kmeans,32,31.934,0.8869,652.8,85701
kodim15.png,som,32,21.964,0.7947,774.8,88857
kodim15.png,mediancut,64,31.459,0.9221,161.5,135674
kodim15.png,maxcoverage,64,27.009,0.7562,103.9,77355
kodim15.png,fast,64,29.456,0.8345,5.4,102724
kodim15.png,kmeans,64,34.376,0.9288,1011.6,116262
kodim15.png,som,64,22.002,0.8331,1526.5,131964
kodim15.png,mediancut,128,33.551,0.9465,188.4,181687
kodim15.png,maxcoverage,128,29.857,0.8089,154.1,98212
kodim15.png,fast,128,32.602,0.904,6.1,142743
kodim15.png,kmeans,128,36.853,0.9514,1880.7,150920
kodim15.png,som,128,22.529,0.8621,3076.2,173607
kodim15.png,mediancut,256,35.313,0.9627,182.1,233044
