image,k,method,mse_ours,mse_gold,ratio,log_ratio
grilled_food,64,MC,161.46464199490018,578.907,0.2789129203739118,-0.5545313669920204
grilled_food,64,OCT,187.0514704386393,418.748,0.4466922121147786,-0.3499916191983228
hard_candy,64,MC,165.69540320502387,631.193,0.26251147145963893,-0.5808517136570139
hard_candy,64,OCT,231.5466562906901,392.088,0.5905476737127636,-0.228745036924896
italian_hot_air_balloon,64,MC,113.90828874376085,410.634,0.27739614533565377,-0.5568995781260591
italian_hot_air_balloon,64,OCT,157.8242653740777,267.151,0.5907680127496349,-0.2285830276837298
jacksons_chameleon,64,MC,131.68507639567056,484.649,0.271712262680147,-0.5658907609411674
jacksons_chameleon,64,OCT,185.10686747233072,324.862,0.569801538722075,-0.24427638230327406
king_penguin,64,MC,66.8899417453342,193.849,0.3450620934094796,-0.4621027472495259
king_penguin,64,OCT,68.35001627604167,116.549,0.5864487578275375,-0.231769929268769
king_vulture,64,MC,142.04256100124783,453.977,0.3128849280938194,-0.5046153566471523
king_vulture,64,OCT,198.26322597927518,375.657,0.5277772701674005,-0.2775493175139165
kingfisher,64,MC,141.538089328342,360.355,0.3927740404,-0.4058572237455612
kingfisher,64,OCT,141.22118971082898,228.213,0.6188130812479087,-0.208440514213563
korean_dancer,64,MC,105.42316606309679,389.967,0.2703386852300241,-0.5680918026927483
korean_dancer,64,OCT,148.32137891981336,262.848,0.5642857427859955,-0.24850092245296065
lights,64,MC,462.15564897325305,1505.99,0.3068782986429213,-0.5130338222650328
lights,64,OCT,313.2980948554145,814.154,0.3848142917131335,-0.41474880696454886
macarons,64,MC,205.85867987738715,666.291,0.3089621199706842,-0.5100947636047788
macarons,64,OCT,248.69856770833334,519.523,0.4787055966883725,-0.31993149502344403
macaws,64,MC,85.17936197916667,265.071,0.32134545830802563,-0.4930278337517186
macaws,64,OCT,126.73220486111111,191.181,0.662891212312474,-0.17855773821508047
malayan_banded_pitta,64,MC,175.4398939344618,347.478,0.5048949687015056,-0.29679895704477915
malayan_banded_pitta,64,OCT,130.22955322265625,195.366,0.6665927194222958,-0.1761394340478099
mandarin_ducks,64,MC,50.760115729437935,162.282,0.3127895621784174,-0.5047477478243072
mandarin_ducks,64,OCT,57.36748928493924,88.047,0.6515552975676541,-0.18604871976817317
mandarinfish,64,MC,215.75355699327258,699.859,0.30828146382810334,-0.5110525874991911
mandarinfish,64,OCT,220.60171763102213,393.105,0.5611775928340319,-0.2508996781690026
mangoes,64,MC,70.24126519097223,150.583,0.46646211850588865,-0.33118361963852055
mangoes,64,OCT,64.76539357503255,117.064,0.5532477411931298,-0.2570803505400845
marrakech_museum,64,MC,201.44458177354602,528.121,0.38143641660442595,-0.4185778462261552
marrakech_museum,64,OCT,182.0927793714735,347.292,0.5243218368735056,-0.2804020544812484
maya_beach,64,MC,107.68622673882379,370.458,0.2906840363518234,-0.5365788179532743
maya_beach,64,OCT,140.20480261908637,221.874,0.6319118176040742,-0.19934352266695385
medicine_packets,64,MC,180.46455722384982,536.868,0.3361432553697553,-0.4734755983318633
medicine_packets,64,OCT,204.3806855943468,397.886,0.5136664411272244,-0.289318806690192
moroccan_babouches,64,MC,105.00279744466145,419.75,0.25015556270318395,-0.6017898352773282
moroccan_babouches,64,OCT,185.21151055230035,272.601,0.6794234450801734,-0.16785947087007222
motocross,64,MC,90.73259735107422,253.993,0.357224794978894,-0.44705840435015076
motocross,64,OCT,130.13759528266058,158.881,0.8190884705072387,-0.08666918715530976
motorcycle,64,MC,140.21155717637805,434.344,0.3228122344878208,-0.491050014006161
motorcycle,64,OCT,175.22628360324435,299.736,0.5846020618252207,-0.23313965726846106
mural,64,MC,96.25475819905598,280.551,0.3430918378442992,-0.4645896136877675
mural,64,OCT,127.80296664767795,175.467,0.7283589885715145,-0.13765451584048444
nylon_cords,64,MC,171.70725419786243,579.902,0.2960970201824833,-0.5285659631774564
nylon_cords,64,OCT,193.8703358968099,324.833,0.5968307896574852,-0.22414878031852437
paper_clips,64,MC,128.2853071424696,208.526,0.6152005368273961,-0.21098329423868956
paper_clips,64,OCT,62.070435418023,135.519,0.45802016999847256,-0.33911539639316934
peacock,64,MC,146.2594985961914,386.871,0.37805754010042475,-0.4224420958074169
peacock,64,OCT,170.8353008694119,266.762,0.6404034340326279,-0.193546347931029
pencils,64,MC,72.02393934461806,200.695,0.3588726143880917,-0.4450596814659185
pencils,64,OCT,92.45928870307074,132.588,0.6973428115898177,-0.1565536715705332
pigments,64,MC,202.75575002034506,615.206,0.32957375256474264,-0.48204738304955863
pigments,64,OCT,226.66458129882812,468.035,0.48428981016126593,-0.3148946687550097
pink_mosque,64,MC,282.068610297309,697.715,0.40427482610709103,-0.39332330101894153
pink_mosque,64,OCT,246.64850192599826,366.152,0.673623254621027,-0.17158292866507951
plushies,64,MC,187.84439171685113,770.47,0.24380493947441317,-0.6129574998466347
plushies,64,OCT,239.90497419569226,411.462,0.5830549946184392,-0.23429048000443967
prickly_pears,64,MC,109.3980204264323,348.482,0.31392732028177145,-0.5031708871310814
prickly_pears,64,OCT,162.5738991631402,248.072,0.6553496531778685,-0.18352692607068186
puffin,64,MC,118.78478410508897,355.705,0.3339418453636833,-0.4763291572502863
puffin,64,OCT,122.51262071397569,229.273,0.5343525871514556,-0.27217208356392547
race_car,64,MC,59.2206785413954,157.865,0.3751349478440148,-0.4258124747754106
race_car,64,OCT,80.69793616400824,118.526,0.680845857989034,-0.16695120027825347
red_eyed_tree_frog,64,MC,264.30237155490454,380.978,0.6937470708411103,-0.15879883755608246
red_eyed_tree_frog,64,OCT,104.31990220811632,210.791,0.4948973258256582,-0.30548489288978947
red_knobbed_starfish,64,MC,111.0248760647244,471.568,0.23543768038697366,-0.6281240297060163
red_knobbed_starfish,64,OCT,181.52452596028647,260.523,0.6967696746939289,-0.156910759262856
