image,k,space,vifp,psnr,ssim,dE00,lpips_alex,lpips_vgg
kodim07,16,xyz,0.478301,28.163589,0.886675,5.121164,0.198454,0.364476
kodim07,64,luv,0.545910,32.757350,0.917554,2.039218,0.099308,0.262657
kodim07,64,rgb,0.658742,35.721077,0.954403,2.253331,0.050731,0.158945
kodim07,64,xyz,0.633023,33.159032,0.948548,2.998707,0.058156,0.136341
kodim07,256,luv,0.677908,36.968544,0.956317,1.282952,0.045197,0.150705
kodim07,256,rgb,0.790406,40.564679,0.981588,1.442893,0.011678,0.051727
kodim07,256,xyz,0.772688,38.107944,0.978440,1.867037,0.015289,0.044964
kodim08,4,luv,0.266596,20.634611,0.706219,9.832930,0.270077,0.460397
kodim08,4,rgb,0.340671,22.614844,0.795443,9.170154,0.218479,0.383111
kodim08,4,xyz,0.272372,20.718789,0.684556,10.175976,0.299827,0.473680
kodim08,16,luv,0.424420,26.354171,0.859142,4.951805,0.087577,0.254732
kodim08,16,rgb,0.543609,28.653957,0.916343,5.964894,0.067856,0.173448
kodim08,16,xyz,0.538666,27.356763,0.911388,7.092018,0.107345,0.188558
kodim08,64,luv,0.569894,31.288675,0.932147,2.955298,0.028769,0.123042
kodim08,64,rgb,0.682535,34.463698,0.965822,3.670325,0.018196,0.062011
kodim08,64,xyz,0.666845,32.284171,0.961956,4.798426,0.039140,0.083799
kodim08,256,luv,0.694175,35.592988,0.969150,1.879483,0.008994,0.048371
kodim08,256,rgb,0.796223,39.021597,0.987238,2.275883,0.005739,0.019894
kodim08,256,xyz,0.764966,35.686266,0.982799,3.659884,0.017826,0.039254
kodim09,4,luv,0.201173,22.561253,0.749742,6.957627,0.375545,0.563512
kodim09,4,rgb,0.272019,23.770294,0.788688,6.289525,0.394242,0.545619
kodim09,4,xyz,0.266350,23.076744,0.776592,6.399622,0.406402,0.548566
kodim09,16,luv,0.349233,28.915780,0.833810,3.285264,0.294383,0.461226
kodim09,16,rgb,0.468609,31.477576,0.888335,3.027074,0.211701,0.363906
kodim09,16,xyz,0.481210,29.233525,0.896127,3.853433,0.187880,0.332649
kodim09,64,luv,0.531016,34.511507,0.915522,1.810033,0.098871,0.264263
kodim09,64,rgb,0.662967,37.495733,0.958428,1.993685,0.038955,0.138377
kodim09,64,xyz,0.662520,34.635808,0.960984,2.463793,0.049561,0.128154
kodim09,256,luv,0.663695,38.578818,0.955421,1.137335,0.031395,0.129945
kodim09,256,rgb,0.790629,42.218973,0.981889,1.359652,0.010110,0.050948
kodim09,256,xyz,0.778795,39.795208,0.980609,1.602079,0.015293,0.055365
kodim10,4,luv,0.220405,23.143566,0.721969,6.680176,0.425378,0.554557
kodim10,4,rgb,0.243059,24.001631,0.734433,6.688031,0.430507,0.548366
kodim10,4,xyz,0.220589,22.925924,0.713828,7.005815,0.471298,0.554482
kodim10,16,luv,0.359386,29.192902,0.826366,3.394784,0.232148,0.405928
kodim10,16,rgb,0.482925,31.460313,0.881255,3.520187,0.156709,0.326229
kodim10,16,xyz,0.492031,30.165516,0.887029,3.951814,0.161363,0.304044
kodim10,64,luv,0.524403,34.211480,0.903046,2.033905,0.096658,0.257063
kodim10,64,rgb,0.643831,37.012040,0.944375,2.232379,0.040965,0.136291
kodim10,64,xyz,0.647607,34.575352,0.943024,2.604258,0.055113,0.125989
kodim10,256,luv,0.660932,38.275934,0.951787,1.304885,0.031780,0.118696
kodim10,256,rgb,0.790950,41.909156,0.980103,1.520992,0.009937,0.040755
kodim10,256,xyz,0.771927,39.399410,0.975213,1.762099,0.015901,0.049691
kodim11,4,luv,0.133676,21.171097,0.586936,7.609074,0.433575,0.554130
kodim11,4,rgb,0.231759,23.801690,0.702075,9.242034,0.359844,0.570453
kodim11,4,xyz,0.186639,21.518288,0.636313,10.684918,0.426161,0.616052
kodim11,16,luv,0.345489,27.940920,0.825585,3.850552,0.138570,0.361159
kodim11,16,rgb,0.433649,30.339726,0.883782,3.979723,0.106785,0.278208
kodim11,16,xyz,0.442778,27.831155,0.869994,6.991190,0.140397,0.306496
