image,k,space,vifp,psnr,ssim,dE00
calaveras,4,luv,0.130679,13.467592,0.351270,19.200527
calaveras,4,rgb,0.174657,15.338432,0.444049,18.709924
calaveras,4,xyz,0.142430,13.166696,0.370511,23.403057
calaveras,16,luv,0.246714,18.454637,0.564386,10.116703
calaveras,16,rgb,0.310096,20.848572,0.659390,9.244044
calaveras,16,xyz,0.239175,16.768909,0.526132,15.542917
calaveras,64,luv,0.367002,22.661855,0.708577,5.503789
calaveras,64,rgb,0.455278,25.982736,0.815683,5.467059
calaveras,64,xyz,0.370428,21.132383,0.684357,8.355700
calaveras,256,luv,0.501128,26.890948,0.819122,3.159459
calaveras,256,rgb,0.601723,30.853802,0.918682,3.122549
calaveras,256,xyz,0.481574,24.364711,0.774433,5.254179
carrots,4,luv,0.218173,17.771679,0.569222,9.933001
carrots,4,rgb,0.317316,20.052801,0.757757,9.905575
carrots,4,xyz,0.274397,18.792954,0.626954,10.881325
carrots,16,luv,0.371836,23.364873,0.821379,5.215190
carrots,16,rgb,0.492881,26.041442,0.905904,6.096972
carrots,16,xyz,0.443007,23.463326,0.854942,7.385939
carrots,64,luv,0.519158,27.916026,0.919630,3.064132
carrots,64,rgb,0.632589,31.697402,0.959722,3.272154
carrots,64,xyz,0.580667,27.943824,0.934211,4.657903
carrots,256,luv,0.647578,32.119261,0.962519,1.871830
carrots,256,rgb,0.747741,36.269637,0.983044,2.059601
carrots,256,xyz,0.683086,32.135448,0.969683,3.010985
chalk_pastels,4,luv,0.065328,17.822407,0.400123,9.343186
chalk_pastels,4,rgb,0.209558,19.830476,0.613716,9.347555
chalk_pastels,4,xyz,0.151985,18.262497,0.541103,8.932822
chalk_pastels,16,luv,0.272825,24.017359,0.711778,4.748173
chalk_pastels,16,rgb,0.380897,26.093226,0.817402,4.930851
chalk_pastels,16,xyz,0.393062,21.863342,0.806588,6.019014
chalk_pastels,64,luv,0.461845,29.665045,0.865265,2.432762
chalk_pastels,64,rgb,0.553012,32.436443,0.913778,2.513828
chalk_pastels,64,xyz,0.531747,28.063750,0.878353,3.245343
chalk_pastels,256,luv,0.619592,34.159554,0.931853,1.483272
chalk_pastels,256,rgb,0.717335,37.461151,0.966132,1.561465
chalk_pastels,256,xyz,0.678259,32.963193,0.934245,2.091250
chicken_dish,4,luv,0.127970,17.396322,0.429150,12.431620
chicken_dish,4,rgb,0.232618,19.517782,0.587752,13.267707
chicken_dish,4,xyz,0.229248,18.227346,0.561209,13.735613
chicken_dish,16,luv,0.267390,22.459559,0.637906,6.094137
chicken_dish,16,rgb,0.348181,25.251535,0.740240,5.937932
chicken_dish,16,xyz,0.362328,21.405851,0.706140,10.445749
chicken_dish,64,luv,0.397738,26.384448,0.767789,3.528339
chicken_dish,64,rgb,0.510848,30.319404,0.865406,3.553469
chicken_dish,64,xyz,0.458915,26.692216,0.795713,5.125239
chicken_dish,256,luv,0.529184,30.017621,0.849096,2.084458
chicken_dish,256,rgb,0.653009,34.906390,0.940710,2.213245
chicken_dish,256,xyz,0.564167,30.305541,0.860026,3.400962
chili_peppers,4,luv,0.129092,15.045271,0.434317,16.523893
chili_peppers,4,rgb,0.161177,16.766490,0.513541,16.831417
chili_peppers,4,xyz,0.182775,15.374192,0.544043,18.352935
chili_peppers,16,luv,0.221117,19.475215,0.602781,8.944337
chili_peppers,16,rgb,0.322897,22.372328,0.758907,9.977184
chili_peppers,16,xyz,0.276566,18.787433,0.683849,14.485004
chili_peppers,64,luv,0.360944,23.940777,0.770904,5.138466
chili_peppers,64,rgb,0.466125,27.402547,0.879161,5.393475
chili_peppers,64,xyz,0.387282,22.927292,0.797258,8.850011
chili_peppers,256,luv,0.498449,28.140107,0.873232,3.058532
chili_peppers,256,rgb,0.615652,32.162633,0.951626,3.386837
chili_peppers,256,xyz,0.522983,27.300259,0.887511,5.312569
clownfish,4,luv,0.143894,17.576703,0.491060,12.294001
clownfish,4,rgb,0.215194,19.140699,0.609468,12.595163
clownfish,4,xyz,0.195628,17.636325,0.563406,14.179181
clownfish,16,luv,0.250003,23.557200,0.657638,6.429359
clownfish,16,rgb,0.365916,26.332244,0.787066,6.508523
clownfish,16,xyz,0.351022,23.913063,0.712020,8.839114
clownfish,64,luv,0.383985,27.973597,0.790780,3.837342
clownfish,64,rgb,0.506114,30.906327,0.882278,4.418480
clownfish,64,xyz,0.476174,28.228821,0.815846,5.823798
clownfish,256,luv,0.520082,31.876450,0.879977,2.453017
clownfish,256,rgb,0.633026,35.124445,0.938716,2.727307
clownfish,256,xyz,0.590292,31.667316,0.893460,4.180729
color_chart,4,luv,0.070911,10.673948,0.460079,21.192823
color_chart,4,rgb,0.192451,13.023124,0.538050,23.637313
color_chart,4,xyz,0.230521,11.445760,0.589580,23.622313
color_chart,16,luv,0.244214,15.267184,0.594555,11.255662
color_chart,16,rgb,0.323150,17.892768,0.678853,13.298401
color_chart,16,xyz,0.362752,13.947682,0.655717,16.648008
color_chart,64,luv,0.356315,18.051249,0.672598,6.488899
color_chart,64,rgb,0.482091,24.051763,0.842468,6.457258
color_chart,64,xyz,0.439858,17.481503,0.704806,9.561381
color_chart,256,luv,0.615702,32.225182,0.889757,1.020341
color_chart,256,rgb,0.677616,35.196980,0.944390,0.981647
color_chart,256,xyz,0.622840,27.594741,0.844956,1.701486
color_checker,4,luv,0.399124,14.498964,0.828388,14.289867
color_checker,4,rgb,0.407170,16.457484,0.831323,14.873635
color_checker,4,xyz,0.343521,15.213525,0.772792,17.453949
color_checker,16,luv,0.480095,24.115302,0.906631,3.584189
color_checker,16,rgb,0.553364,26.432849,0.935196,3.838462
color_checker,16,xyz,0.492119,23.541724,0.905384,4.990710
color_checker,64,luv,0.681677,34.705148,0.962994,1.072553
color_checker,64,rgb,0.730109,37.180384,0.976426,1.022341
color_checker,64,xyz,0.658835,33.373049,0.951878,1.316831
color_checker,256,luv,0.820380,41.077321,0.983239,0.552186
color_checker,256,rgb,0.864417,43.991794,0.989972,0.600093
color_checker,256,xyz,0.791178,38.308841,0.977720,0.863312
coloring_pencils,4,luv,0.143924,17.041908,0.614851,12.667372
coloring_pencils,4,rgb,0.162868,17.775630,0.642342,16.145192
coloring_pencils,4,xyz,0.153804,15.017182,0.603095,17.614820
coloring_pencils,16,luv,0.241344,22.822208,0.711202,5.776365
coloring_pencils,16,rgb,0.305728,25.065085,0.766691,5.948771
coloring_pencils,16,xyz,0.247561,21.128950,0.687290,9.373466
coloring_pencils,64,luv,0.398243,29.088641,0.826875,2.892719
coloring_pencils,64,rgb,0.472270,32.176461,0.885512,3.049667
coloring_pencils,64,xyz,0.402115,26.682359,0.782197,5.081369
coloring_pencils,256,luv,0.550586,34.151922,0.907533,1.487063
coloring_pencils,256,rgb,0.640680,37.188626,0.948929,1.681454
coloring_pencils,256,xyz,0.564593,32.190279,0.883496,2.902354
columbia_crew,4,luv,0.141385,17.418002,0.515728,10.441573
columbia_crew,4,rgb,0.206211,18.502894,0.621515,9.638662
columbia_crew,4,xyz,0.169666,17.182458,0.555069,13.551626
columbia_crew,16,luv,0.354521,25.379082,0.789047,4.681271
columbia_crew,16,rgb,0.411688,27.136781,0.827370,4.242576
columbia_crew,16,xyz,0.348028,23.729902,0.739992,6.687930
columbia_crew,64,luv,0.515570,30.441083,0.881668,2.491727
columbia_crew,64,rgb,0.595645,33.028480,0.931309,2.334431
columbia_crew,64,xyz,0.541428,29.944788,0.874179,3.291845
columbia_crew,256,luv,0.654549,34.733095,0.945122,1.545740
columbia_crew,256,rgb,0.737899,37.966536,0.971223,1.492171
columbia_crew,256,xyz,0.665017,34.265921,0.940990,2.025985
common_jezebel,4,luv,0.139043,18.188569,0.666807,7.423722
common_jezebel,4,rgb,0.180027,20.111104,0.683878,8.187086
common_jezebel,4,xyz,0.186088,18.812989,0.655845,9.508512
common_jezebel,16,luv,0.294265,25.428161,0.757034,3.637957
common_jezebel,16,rgb,0.387763,28.061239,0.834469,3.534943
common_jezebel,16,xyz,0.366251,25.888217,0.803207,4.312722
common_jezebel,64,luv,0.434740,30.226402,0.849110,2.111505
common_jezebel,64,rgb,0.546366,33.208671,0.916193,2.094792
common_jezebel,64,xyz,0.513486,29.632937,0.891386,2.728895
common_jezebel,256,luv,0.579335,34.127280,0.917870,1.312752
common_jezebel,256,rgb,0.690631,37.772775,0.962189,1.349050
common_jezebel,256,xyz,0.622485,33.116973,0.929428,1.769024
common_lantanas,4,luv,0.158015,19.615627,0.710479,10.767565
common_lantanas,4,rgb,0.208268,20.860206,0.742590,11.140175
common_lantanas,4,xyz,0.233560,18.538522,0.703542,14.975919
common_lantanas,16,luv,0.260776,24.118536,0.779127,5.228335
common_lantanas,16,rgb,0.347162,26.670651,0.825952,5.938006
common_lantanas,16,xyz,0.337364,24.157802,0.808482,8.360440
common_lantanas,64,luv,0.392508,28.325616,0.846236,3.084810
common_lantanas,64,rgb,0.495905,31.551115,0.895872,3.294278
common_lantanas,64,xyz,0.446766,27.631594,0.866948,5.316338
common_lantanas,256,luv,0.516552,32.159300,0.899272,1.905711
common_lantanas,256,rgb,0.624321,35.898255,0.944605,2.001105
common_lantanas,256,xyz,0.554713,30.929198,0.907542,3.839165
cosmic_vista,4,luv,0.145103,17.387314,0.496968,12.046647
cosmic_vista,4,rgb,0.196918,19.914644,0.614109,12.145288
cosmic_vista,4,xyz,0.175341,18.661868,0.544255,13.683851
cosmic_vista,16,luv,0.302824,23.715918,0.741704,6.670577
cosmic_vista,16,rgb,0.361854,25.643715,0.807057,6.915036
cosmic_vista,16,xyz,0.333604,23.301453,0.756400,9.139920
cosmic_vista,64,luv,0.431127,27.806708,0.856702,4.111337
cosmic_vista,64,rgb,0.529809,30.526374,0.914725,4.358740
cosmic_vista,64,xyz,0.473170,27.356889,0.869123,6.253085
cosmic_vista,256,luv,0.575646,31.949064,0.932591,2.625451
cosmic_vista,256,rgb,0.672563,34.990635,0.963511,2.829828
cosmic_vista,256,xyz,0.603593,30.820106,0.932914,4.473819
craft_cards,4,luv,0.282849,18.414443,0.549062,9.566290
craft_cards,4,rgb,0.286248,19.036231,0.563999,10.930762
craft_cards,4,xyz,0.276251,18.028984,0.567736,12.156607
craft_cards,16,luv,0.404644,30.466233,0.789758,1.792262
craft_cards,16,rgb,0.437953,32.056660,0.900593,1.557380
craft_cards,16,xyz,0.398425,29.098354,0.763449,2.074529
craft_cards,64,luv,0.581154,35.221427,0.940293,0.816506
craft_cards,64,rgb,0.652566,37.994801,0.966109,0.813855
craft_cards,64,xyz,0.568037,33.223665,0.835271,1.220687
craft_cards,256,luv,0.704806,39.314577,0.970430,0.460251
craft_cards,256,rgb,0.801212,42.985807,0.987967,0.494761
craft_cards,256,xyz,0.701402,38.074366,0.970050,0.623289
crepe_paper,4,luv,0.074528,15.750043,0.565169,13.055659
crepe_paper,4,rgb,0.111524,17.667097,0.673413,14.743102
crepe_paper,4,xyz,0.095841,14.588247,0.482896,19.952261
crepe_paper,16,luv,0.259580,30.350616,0.826069,1.946417
crepe_paper,16,rgb,0.263562,31.625601,0.860274,2.011520
crepe_paper,16,xyz,0.261496,25.771398,0.731286,2.915354
crepe_paper,64,luv,0.555491,38.012605,0.946266,0.780497
crepe_paper,64,rgb,0.587751,39.995648,0.968687,0.790576
crepe_paper,64,xyz,0.564504,35.490628,0.931266,0.968077
crepe_paper,256,luv,0.770330,44.119623,0.983313,0.346833
crepe_paper,256,rgb,0.805888,46.541773,0.988113,0.342743
crepe_paper,256,xyz,0.762646,41.551493,0.975950,0.445316
cruise_ship,4,luv,0.124298,18.424207,0.656347,10.565011
