image,method,n_colors,psnr,ssim,dE00,lpips
kodim10.png,kmeans_rgb,32,34.226,0.9209,2.782,0.08619
kodim10.png,pw_lab,32,32.148,0.884,2.561,0.13268
kodim10.png,kmeans_rgb,64,37.005,0.9467,2.231,0.04144
kodim10.png,pw_lab,64,34.45,0.9231,1.999,0.06704
kodim10.png,kmeans_rgb,128,39.554,0.9673,1.811,0.01879
kodim10.png,pw_lab,128,36.5,0.9466,1.628,0.03831
kodim10.png,kmeans_rgb,256,41.8,0.9803,1.542,0.00973
kodim10.png,pw_lab,256,38.079,0.9632,1.302,0.02148
kodim11.png,kmeans_rgb,16,30.342,0.8828,4.043,0.1086
kodim11.png,pw_lab,16,28.881,0.8471,3.713,0.11868
kodim11.png,kmeans_rgb,32,33.226,0.9308,3.136,0.05744
kodim11.png,pw_lab,32,30.817,0.8973,2.769,0.06757
kodim11.png,kmeans_rgb,64,35.878,0.9552,2.445,0.02935
kodim11.png,pw_lab,64,33.04,0.9311,2.142,0.04013
kodim11.png,kmeans_rgb,128,38.322,0.9742,1.999,0.01606
kodim11.png,pw_lab,128,35.212,0.9544,1.767,0.02367
kodim11.png,kmeans_rgb,256,40.516,0.9838,1.624,0.00933
kodim11.png,pw_lab,256,36.893,0.9687,1.423,0.01397
kodim12.png,kmeans_rgb,16,30.543,0.8505,3.177,0.1646
kodim12.png,pw_lab,16,28.167,0.8335,3.167,0.18953
kodim12.png,kmeans_rgb,32,34.214,0.9098,2.282,0.09229
kodim12.png,pw_lab,32,30.299,0.8778,2.312,0.11443
kodim12.png,kmeans_rgb,64,36.934,0.9506,1.852,0.04412
kodim12.png,pw_lab,64,34.315,0.9164,1.689,0.06547
kodim12.png,kmeans_rgb,128,39.351,0.9672,1.485,0.02092
kodim12.png,pw_lab,128,36.415,0.9432,1.309,0.03821
kodim12.png,kmeans_rgb,256,41.579,0.9786,1.193,0.01051
kodim12.png,pw_lab,256,38.269,0.9618,1.033,0.02135
kodim13.png,kmeans_rgb,16,30.213,0.9435,4.944,0.12254
kodim13.png,pw_lab,16,28.099,0.8906,4.307,0.11472
kodim13.png,kmeans_rgb,32,32.576,0.9613,3.809,0.05899
kodim13.png,pw_lab,32,30.218,0.9268,3.38,0.06602
kodim13.png,kmeans_rgb,64,35.032,0.9751,3.026,0.03324
kodim13.png,pw_lab,64,32.487,0.9534,2.66,0.03899
kodim13.png,kmeans_rgb,128,37.152,0.9844,2.504,0.02112
kodim13.png,pw_lab,128,34.55,0.9705,2.117,0.02242
kodim13.png,kmeans_rgb,256,39.187,0.9899,2.01,0.01179
kodim13.png,pw_lab,256,36.404,0.9806,1.699,0.01261
kodim14.png,kmeans_rgb,16,28.02,0.854,4.893,0.12753
kodim14.png,pw_lab,16,26.19,0.7971,4.56,0.1576
kodim14.png,kmeans_rgb,32,31.058,0.9172,3.896,0.07483
kodim14.png,pw_lab,32,28.692,0.8738,3.374,0.08577
kodim14.png,kmeans_rgb,64,33.583,0.952,3.177,0.04239
kodim14.png,pw_lab,64,30.89,0.9145,2.68,0.04921
kodim14.png,kmeans_rgb,128,35.852,0.9668,2.536,0.02275
kodim14.png,pw_lab,128,32.788,0.9416,2.106,0.02723
kodim14.png,kmeans_rgb,256,38.086,0.9794,2.052,0.01169
kodim14.png,pw_lab,256,34.826,0.962,1.681,0.01516
kodim15.png,kmeans_rgb,16,28.98,0.8275,4.383,0.23402
kodim15.png,pw_lab,16,27.575,0.7845,3.996,0.26511
kodim15.png,kmeans_rgb,32,31.934,0.8869,3.453,0.12531
kodim15.png,pw_lab,32,29.705,0.8397,2.94,0.17075
kodim15.png,kmeans_rgb,64,34.376,0.9288,2.551,0.06543
kodim15.png,pw_lab,64,31.789,0.8784,2.224,0.10698
kodim15.png,kmeans_rgb,128,36.853,0.9514,1.937,0.03157
kodim15.png,pw_lab,128,34.039,0.9178,1.708,0.05464
kodim15.png,kmeans_rgb,256,39.173,0.9686,1.538,0.01294
kodim15.png,pw_lab,256,35.956,0.9464,1.37,0.02882
kodim16.png,kmeans_rgb,16,32.446,0.8922,2.906,0.15422
kodim16.png,pw_lab,16,31.354,0.8749,2.841,0.16642
kodim16.png,kmeans_rgb,32,36.296,0.9461,2.301,0.07791
kodim16.png,pw_lab,32,34.202,0.9164,2.138,0.09056
kodim16.png,kmeans_rgb,64,39.222,0.9691,1.842,0.03786
kodim16.png,pw_lab,64,36.776,0.9496,1.699,0.0495
kodim16.png,kmeans_rgb,128,41.618,0.9809,1.602,0.02135
kodim16.png,pw_lab,128,38.815,0.9647,1.37,0.0303
kodim16.png,kmeans_rgb,256,43.83,0.9879,1.331,0.01003
kodim16.png,pw_lab,256,40.735,0.9769,1.097,0.01611
kodim17.png,kmeans_rgb,16,32.154,0.8837,3.279,0.17808
kodim17.png,pw_lab,16,30.341,0.8583,3.108,0.18981
kodim17.png,kmeans_rgb,32,35.484,0.9452,2.682,0.07499
kodim17.png,pw_lab,32,32.502,0.9022,2.362,0.10466
kodim17.png,kmeans_rgb,64,38.002,0.9647,2.144,0.03872
kodim17.png,pw_lab,64,34.993,0.9392,1.88,0.05721
kodim17.png,kmeans_rgb,128,40.386,0.9778,1.863,0.02022
kodim17.png,pw_lab,128,37.007,0.9596,1.53,0.03373
kodim17.png,kmeans_rgb,256,42.702,0.986,1.515,0.01038
kodim17.png,pw_lab,256,38.715,0.9738,1.251,0.0191
kodim18.png,kmeans_rgb,16,28.917,0.8686,5.718,0.14088
kodim18.png,pw_lab,16,26.661,0.8052,4.82,0.17416
kodim18.png,kmeans_rgb,32,31.421,0.912,4.356,0.07368
kodim18.png,pw_lab,32,28.661,0.8635,3.635,0.09961
kodim18.png,kmeans_rgb,64,33.745,0.945,3.446,0.03875
kodim18.png,pw_lab,64,30.55,0.9069,2.912,0.05843
kodim18.png,kmeans_rgb,128,35.877,0.9653,2.808,0.02102
kodim18.png,pw_lab,128,32.518,0.9377,2.338,0.03292
kodim18.png,kmeans_rgb,256,37.917,0.9764,2.339,0.0123
kodim18.png,pw_lab,256,34.419,0.9591,1.885,0.01952
kodim19.png,kmeans_rgb,16,31.053,0.8883,3.792,0.17654
kodim19.png,pw_lab,16,29.292,0.8366,3.39,0.1926
kodim19.png,kmeans_rgb,32,33.936,0.9338,2.989,0.08539
kodim19.png,pw_lab,32,31.89,0.9032,2.56,0.08025
kodim19.png,kmeans_rgb,64,36.699,0.9596,2.335,0.0424
kodim19.png,pw_lab,64,34.254,0.9371,2.05,0.04744
kodim19.png,kmeans_rgb,128,38.975,0.9733,1.9,0.02349
kodim19.png,pw_lab,128,36.131,0.957,1.69,0.02874
kodim19.png,kmeans_rgb,256,41.192,0.9832,1.607,0.01272
kodim19.png,pw_lab,256,37.794,0.972,1.378,0.0154
kodim20.png,kmeans_rgb,16,31.6,0.9076,3.225,0.14087
kodim20.png,pw_lab,16,29.128,0.8612,2.757,0.13225
kodim20.png,kmeans_rgb,32,35.065,0.9435,2.087,0.04679
kodim20.png,pw_lab,32,32.322,0.9212,1.983,0.06252
kodim20.png,kmeans_rgb,64,37.832,0.9666,1.67,0.02434
kodim20.png,pw_lab,64,34.164,0.9418,1.602,0.04268
kodim20.png,kmeans_rgb,128,40.341,0.9808,1.323,0.01302
kodim20.png,pw_lab,128,36.504,0.9615,1.229,0.02433
kodim20.png,kmeans_rgb,256,42.621,0.9873,1.066,0.00594
kodim20.png,pw_lab,256,38.81,0.9766,0.958,0.01171
kodim21.png,kmeans_rgb,16,30.741,0.8878,3.661,0.17898
kodim21.png,pw_lab,16,28.994,0.8621,3.495,0.16721
kodim21.png,kmeans_rgb,32,33.825,0.9305,2.923,0.09738
kodim21.png,pw_lab,32,31.595,0.9061,2.748,0.10171
kodim21.png,kmeans_rgb,64,36.42,0.9532,2.367,0.04852
kodim21.png,pw_lab,64,33.624,0.9318,2.186,0.05166
kodim21.png,kmeans_rgb,128,38.881,0.9711,1.944,0.02382
kodim21.png,pw_lab,128,35.989,0.9571,1.74,0.02753
kodim21.png,kmeans_rgb,256,41.112,0.9824,1.651,0.01342
kodim21.png,pw_lab,256,38.029,0.9724,1.396,0.01619
kodim22.png,kmeans_rgb,16,28.756,0.8451,5.506,0.17359
kodim22.png,pw_lab,16,26.852,0.7657,4.723,0.23251
kodim22.png,kmeans_rgb,32,31.598,0.8883,4.254,0.10626
kodim22.png,pw_lab,32,29.059,0.8207,3.731,0.16945
kodim22.png,kmeans_rgb,64,33.978,0.9284,3.395,0.05595
kodim22.png,pw_lab,64,31.363,0.8722,2.916,0.101
kodim22.png,kmeans_rgb,128,36.152,0.9514,2.747,0.03151
kodim22.png,pw_lab,128,33.311,0.9119,2.313,0.05454
kodim22.png,kmeans_rgb,256,38.212,0.967,2.197,0.01654
kodim22.png,pw_lab,256,35.068,0.939,1.861,0.03392
kodim23.png,kmeans_rgb,16,26.492,0.7813,6.303,0.36433
kodim23.png,pw_lab,16,24.832,0.7335,5.115,0.39667
kodim23.png,kmeans_rgb,32,29.236,0.8165,4.448,0.29426
kodim23.png,pw_lab,32,26.991,0.7669,3.945,0.35358
kodim23.png,kmeans_rgb,64,31.905,0.8639,3.354,0.19612
kodim23.png,pw_lab,64,29.387,0.8036,3.032,0.30079
kodim23.png,kmeans_rgb,128,34.328,0.9019,2.641,0.11652
kodim23.png,pw_lab,128,31.46,0.8455,2.363,0.21713
kodim23.png,kmeans_rgb,256,36.607,0.9345,2.099,0.05235
kodim23.png,pw_lab,256,33.813,0.8894,1.87,0.13726
kodim24.png,kmeans_rgb,16,30.163,0.9213,5.614,0.12336
kodim24.png,pw_lab,16,27.861,0.8692,4.489,0.12605
kodim24.png,kmeans_rgb,32,32.679,0.9377,4.041,0.06769
kodim24.png,pw_lab,32,30.291,0.9046,3.45,0.07972
kodim24.png,kmeans_rgb,64,35.051,0.9608,3.14,0.03966
kodim24.png,pw_lab,64,32.422,0.9332,2.652,0.04375
kodim24.png,kmeans_rgb,128,37.328,0.9738,2.583,0.0243
kodim24.png,pw_lab,128,34.374,0.9542,2.141,0.02605
kodim24.png,kmeans_rgb,256,39.431,0.983,2.089,0.01257
kodim24.png,pw_lab,256,36.168,0.9695,1.702,0.01563
kodim01.png,ce_kmeans,16,31.315,0.9284,2.827,0.05461
kodim01.png,ce_kmeans,32,32.987,0.9454,2.249,0.02886
kodim01.png,ce_kmeans,64,34.983,0.9645,1.781,0.01741
kodim01.png,ce_kmeans,128,37.416,0.9761,1.427,0.00958
kodim01.png,ce_kmeans,256,39.244,0.9845,1.13,0.00543
kodim02.png,ce_kmeans,16,32.269,0.9134,1.524,0.04977
kodim02.png,ce_kmeans,32,33.698,0.944,1.174,0.02822
kodim02.png,ce_kmeans,64,35.869,0.9628,0.92,0.01797
kodim02.png,ce_kmeans,128,38.54,0.9774,0.717,0.01002
kodim02.png,ce_kmeans,256,40.511,0.9857,0.567,0.00577
kodim03.png,ce_kmeans,16,26.551,0.8068,4.171,0.29
kodim03.png,ce_kmeans,32,28.781,0.8506,2.827,0.21795
kodim03.png,ce_kmeans,64,31.979,0.8956,2.003,0.13608
kodim03.png,ce_kmeans,128,34.261,0.9271,1.494,0.07979
kodim03.png,ce_kmeans,256,36.401,0.9503,1.129,0.04681
kodim04.png,ce_kmeans,16,27.81,0.7899,3.743,0.2576
kodim04.png,ce_kmeans,32,30.628,0.8531,2.742,0.17667
kodim04.png,ce_kmeans,64,33.162,0.9012,2.072,0.10957
kodim04.png,ce_kmeans,128,35.104,0.9308,1.606,0.07019
kodim04.png,ce_kmeans,256,37.359,0.9543,1.271,0.04025
kodim05.png,ce_kmeans,16,25.302,0.8167,5.214,0.12359
kodim05.png,ce_kmeans,32,27.606,0.8801,3.978,0.07742
kodim05.png,ce_kmeans,64,29.754,0.9162,3.097,0.05081
kodim05.png,ce_kmeans,128,31.938,0.9437,2.435,0.03211
kodim05.png,ce_kmeans,256,33.68,0.9606,1.949,0.02043
