image,k,space,vif
color_checker,16,xyz,0.492119
color_checker,64,luv,0.681677
color_checker,64,rgb,0.730109
color_checker,64,xyz,0.658835
color_checker,256,luv,0.820380
color_checker,256,rgb,0.864417
color_checker,256,xyz,0.791178
coloring_pencils,4,luv,0.143924
coloring_pencils,4,rgb,0.162868
coloring_pencils,4,xyz,0.153804
coloring_pencils,16,luv,0.241344
coloring_pencils,16,rgb,0.305728
coloring_pencils,16,xyz,0.247561
coloring_pencils,64,luv,0.398243
coloring_pencils,64,rgb,0.472270
coloring_pencils,64,xyz,0.402115
coloring_pencils,256,luv,0.550586
coloring_pencils,256,rgb,0.640680
coloring_pencils,256,xyz,0.564593
columbia_crew,4,luv,0.141385
columbia_crew,4,rgb,0.206211
columbia_crew,4,xyz,0.169666
columbia_crew,16,luv,0.354521
columbia_crew,16,rgb,0.411688
columbia_crew,16,xyz,0.348028
columbia_crew,64,luv,0.515570
columbia_crew,64,rgb,0.595645
columbia_crew,64,xyz,0.541428
columbia_crew,256,luv,0.654549
columbia_crew,256,rgb,0.737899
columbia_crew,256,xyz,0.665017
common_jezebel,4,luv,0.139043
common_jezebel,4,rgb,0.180027
common_jezebel,4,xyz,0.186088
common_jezebel,16,luv,0.294265
common_jezebel,16,rgb,0.387763
common_jezebel,16,xyz,0.366251
common_jezebel,64,luv,0.434740
common_jezebel,64,rgb,0.546366
common_jezebel,64,xyz,0.513486
common_jezebel,256,luv,0.579335
common_jezebel,256,rgb,0.690631
common_jezebel,256,xyz,0.622485
common_lantanas,4,luv,0.158015
common_lantanas,4,rgb,0.208268
common_lantanas,4,xyz,0.233560
common_lantanas,16,luv,0.260776
common_lantanas,16,rgb,0.347162
common_lantanas,16,xyz,0.337364
common_lantanas,64,luv,0.392508
common_lantanas,64,rgb,0.495905
common_lantanas,64,xyz,0.446766
common_lantanas,256,luv,0.516552
common_lantanas,256,rgb,0.624321
common_lantanas,256,xyz,0.554713
cosmic_vista,4,luv,0.145103
cosmic_vista,4,rgb,0.196918
cosmic_vista,4,xyz,0.175341
