image,k,space,vif
pink_mosque,16,rgb,0.311806
pink_mosque,16,xyz,0.253422
pink_mosque,64,luv,0.372024
pink_mosque,64,rgb,0.467203
pink_mosque,64,xyz,0.371400
pink_mosque,256,luv,0.504907
pink_mosque,256,rgb,0.603831
pink_mosque,256,xyz,0.492888
plushies,4,luv,0.183664
plushies,4,rgb,0.285851
plushies,4,xyz,0.236858
plushies,16,luv,0.311383
plushies,16,rgb,0.423094
plushies,16,xyz,0.378917
plushies,64,luv,0.454542
plushies,64,rgb,0.552666
plushies,64,xyz,0.487949
plushies,256,luv,0.570555
plushies,256,rgb,0.669520
plushies,256,xyz,0.595995
prickly_pears,4,luv,0.112829
prickly_pears,4,rgb,0.241326
prickly_pears,4,xyz,0.240448
prickly_pears,16,luv,0.270458
prickly_pears,16,rgb,0.377600
prickly_pears,16,xyz,0.378732
prickly_pears,64,luv,0.441409
prickly_pears,64,rgb,0.551594
prickly_pears,64,xyz,0.513319
prickly_pears,256,luv,0.582223
prickly_pears,256,rgb,0.690712
prickly_pears,256,xyz,0.644726
puffin,4,luv,0.111155
puffin,4,rgb,0.171491
puffin,4,xyz,0.174092
puffin,16,luv,0.251188
puffin,16,rgb,0.337454
puffin,16,xyz,0.360434
puffin,64,luv,0.418172
puffin,64,rgb,0.528435
puffin,64,xyz,0.521222
puffin,256,luv,0.565496
puffin,256,rgb,0.686380
puffin,256,xyz,0.649633
race_car,4,luv,0.142166
race_car,4,rgb,0.146160
race_car,4,xyz,0.145671
race_car,16,luv,0.279420
race_car,16,rgb,0.368360
race_car,16,xyz,0.368886
race_car,64,luv,0.485195
race_car,64,rgb,0.587267
race_car,64,xyz,0.554758
race_car,256,luv,0.653772
race_car,256,rgb,0.750220
race_car,256,xyz,0.706029
red_eyed_tree_frog,4,luv,0.085094
red_eyed_tree_frog,4,rgb,0.177232
red_eyed_tree_frog,4,xyz,0.161081
red_eyed_tree_frog,16,luv,0.223926
red_eyed_tree_frog,16,rgb,0.307627
red_eyed_tree_frog,16,xyz,0.300172
red_eyed_tree_frog,64,luv,0.348689
red_eyed_tree_frog,64,rgb,0.471017
red_eyed_tree_frog,64,xyz,0.436219
red_eyed_tree_frog,256,luv,0.497845
red_eyed_tree_frog,256,rgb,0.618482
red_eyed_tree_frog,256,xyz,0.557991
red_knobbed_starfish,4,luv,0.119446
red_knobbed_starfish,4,rgb,0.219361
red_knobbed_starfish,4,xyz,0.165693
red_knobbed_starfish,16,luv,0.230745
red_knobbed_starfish,16,rgb,0.345303
red_knobbed_starfish,16,xyz,0.309288
red_knobbed_starfish,64,luv,0.358978
red_knobbed_starfish,64,rgb,0.483598
red_knobbed_starfish,64,xyz,0.460951
red_knobbed_starfish,256,luv,0.491218
red_knobbed_starfish,256,rgb,0.612649
red_knobbed_starfish,256,xyz,0.563128
rescue_helicopter,4,luv,0.180427
rescue_helicopter,4,rgb,0.219794
rescue_helicopter,4,xyz,0.220223
rescue_helicopter,16,luv,0.319990
rescue_helicopter,16,rgb,0.413737
rescue_helicopter,16,xyz,0.389862
rescue_helicopter,64,luv,0.510094
rescue_helicopter,64,rgb,0.605156
rescue_helicopter,64,xyz,0.562204
rescue_helicopter,256,luv,0.667870
rescue_helicopter,256,rgb,0.753912
rescue_helicopter,256,xyz,0.701417
rose_bouquet,4,luv,0.120693
rose_bouquet,4,rgb,0.187652
rose_bouquet,4,xyz,0.197016
rose_bouquet,16,luv,0.242836
rose_bouquet,16,rgb,0.319464
rose_bouquet,16,xyz,0.281861
rose_bouquet,64,luv,0.360674
rose_bouquet,64,rgb,0.464249
rose_bouquet,64,xyz,0.392434
rose_bouquet,256,luv,0.497239
rose_bouquet,256,rgb,0.610129
rose_bouquet,256,xyz,0.506995
sagami_temple,4,luv,0.173593
sagami_temple,4,rgb,0.239763
sagami_temple,4,xyz,0.170776
sagami_temple,16,luv,0.321948
sagami_temple,16,rgb,0.405343
sagami_temple,16,xyz,0.330010
sagami_temple,64,luv,0.473022
sagami_temple,64,rgb,0.565214
sagami_temple,64,xyz,0.456871
sagami_temple,256,luv,0.600494
sagami_temple,256,rgb,0.694969
sagami_temple,256,xyz,0.588227
salad_bowl,4,luv,0.089478
salad_bowl,4,rgb,0.160137
salad_bowl,4,xyz,0.185989
salad_bowl,16,luv,0.199542
salad_bowl,16,rgb,0.291986
salad_bowl,16,xyz,0.311722
salad_bowl,64,luv,0.312088
salad_bowl,64,rgb,0.433951
salad_bowl,64,xyz,0.434927
salad_bowl,256,luv,0.445780
salad_bowl,256,rgb,0.572635
salad_bowl,256,xyz,0.545005
schoolgirls,4,luv,0.120250
schoolgirls,4,rgb,0.187494
schoolgirls,4,xyz,0.219301
schoolgirls,16,luv,0.247814
schoolgirls,16,rgb,0.357426
schoolgirls,16,xyz,0.341996
schoolgirls,64,luv,0.381292
schoolgirls,64,rgb,0.501705
schoolgirls,64,xyz,0.466775
schoolgirls,256,luv,0.513341
schoolgirls,256,rgb,0.624516
schoolgirls,256,xyz,0.587910
seattle_great_wheel,4,luv,0.148664
seattle_great_wheel,4,rgb,0.207383
seattle_great_wheel,4,xyz,0.165520
seattle_great_wheel,16,luv,0.304152
seattle_great_wheel,16,rgb,0.375650
seattle_great_wheel,16,xyz,0.301747
seattle_great_wheel,64,luv,0.429624
seattle_great_wheel,64,rgb,0.528831
seattle_great_wheel,64,xyz,0.429288
seattle_great_wheel,256,luv,0.553938
seattle_great_wheel,256,rgb,0.660469
seattle_great_wheel,256,xyz,0.542389
shawls,4,luv,0.082702
shawls,4,rgb,0.176279
shawls,4,xyz,0.145889
shawls,16,luv,0.248703
shawls,16,rgb,0.320430
shawls,16,xyz,0.322137
shawls,64,luv,0.390813
shawls,64,rgb,0.485007
shawls,64,xyz,0.428047
shawls,256,luv,0.530700
shawls,256,rgb,0.629692
shawls,256,xyz,0.551459
shopping_bags,4,luv,0.263827
shopping_bags,4,rgb,0.288920
shopping_bags,4,xyz,0.266909
shopping_bags,16,luv,0.436536
shopping_bags,16,rgb,0.485464
shopping_bags,16,xyz,0.458284
shopping_bags,64,luv,0.614704
shopping_bags,64,rgb,0.692139
shopping_bags,64,xyz,0.631062
shopping_bags,256,luv,0.775565
shopping_bags,256,rgb,0.848304
shopping_bags,256,xyz,0.776963
siberian_tiger,4,luv,0.196733
siberian_tiger,4,rgb,0.247015
siberian_tiger,4,xyz,0.164464
siberian_tiger,16,luv,0.362443
siberian_tiger,16,rgb,0.467197
siberian_tiger,16,xyz,0.381868
siberian_tiger,64,luv,0.518975
siberian_tiger,64,rgb,0.631907
siberian_tiger,64,xyz,0.554348
siberian_tiger,256,luv,0.641362
siberian_tiger,256,rgb,0.742800
siberian_tiger,256,xyz,0.677145
skiers,4,luv,0.145774
skiers,4,rgb,0.195275
skiers,4,xyz,0.227364
skiers,16,luv,0.263724
skiers,16,rgb,0.418016
skiers,16,xyz,0.395859
skiers,64,luv,0.455672
skiers,64,rgb,0.590670
skiers,64,xyz,0.561531
skiers,256,luv,0.606913
skiers,256,rgb,0.722263
skiers,256,xyz,0.673757
spices,4,luv,0.208187
spices,4,rgb,0.301954
spices,4,xyz,0.242726
spices,16,luv,0.343869
spices,16,rgb,0.462567
spices,16,xyz,0.433116
spices,64,luv,0.481606
spices,64,rgb,0.606179
spices,64,xyz,0.556131
spices,256,luv,0.617120
spices,256,rgb,0.722732
spices,256,xyz,0.670343
sports_bicycles,4,luv,0.156845
sports_bicycles,4,rgb,0.208778
sports_bicycles,4,xyz,0.196441
sports_bicycles,16,luv,0.275685
sports_bicycles,16,rgb,0.366680
sports_bicycles,16,xyz,0.331012
sports_bicycles,64,luv,0.398053
sports_bicycles,64,rgb,0.509451
sports_bicycles,64,xyz,0.465336
sports_bicycles,256,luv,0.528231
sports_bicycles,256,rgb,0.634184
sports_bicycles,256,xyz,0.586916
sun_parakeet,4,luv,0.148757
sun_parakeet,4,rgb,0.159841
sun_parakeet,4,xyz,0.212870
sun_parakeet,16,luv,0.322796
sun_parakeet,16,rgb,0.455653
sun_parakeet,16,xyz,0.430170
sun_parakeet,64,luv,0.475564
sun_parakeet,64,rgb,0.588348
sun_parakeet,64,xyz,0.598743
sun_parakeet,256,luv,0.608112
sun_parakeet,256,rgb,0.718628
sun_parakeet,256,xyz,0.704749
tablet,4,luv,0.077389
tablet,4,rgb,0.206077
tablet,4,xyz,0.219434
tablet,16,luv,0.262829
tablet,16,rgb,0.316281
tablet,16,xyz,0.345754
tablet,64,luv,0.490740
tablet,64,rgb,0.556601
tablet,64,xyz,0.558158
tablet,256,luv,0.645842
tablet,256,rgb,0.733472
tablet,256,xyz,0.707687
textile_market,4,luv,0.065179
textile_market,4,rgb,0.153823
textile_market,4,xyz,0.101372
textile_market,16,luv,0.224755
textile_market,16,rgb,0.302391
textile_market,16,xyz,0.250896
textile_market,64,luv,0.351315
textile_market,64,rgb,0.460446
textile_market,64,xyz,0.373108
textile_market,256,luv,0.487025
textile_market,256,rgb,0.594257
textile_market,256,xyz,0.497784
trade_fair_tower,4,luv,0.125442
trade_fair_tower,4,rgb,0.177167
trade_fair_tower,4,xyz,0.168868
trade_fair_tower,16,luv,0.288299
trade_fair_tower,16,rgb,0.406836
trade_fair_tower,16,xyz,0.391670
trade_fair_tower,64,luv,0.499562
trade_fair_tower,64,rgb,0.610954
trade_fair_tower,64,xyz,0.563302
trade_fair_tower,256,luv,0.667921
trade_fair_tower,256,rgb,0.766206
trade_fair_tower,256,xyz,0.723110
traffic,4,luv,0.240145
traffic,4,rgb,0.239874
traffic,4,xyz,0.219500
traffic,16,luv,0.359627
traffic,16,rgb,0.474003
traffic,16,xyz,0.404240
traffic,64,luv,0.505161
traffic,64,rgb,0.600342
traffic,64,xyz,0.545710
traffic,256,luv,0.630925
traffic,256,rgb,0.727537
traffic,256,xyz,0.665497
tulip_field,4,luv,0.095797
tulip_field,4,rgb,0.131098
tulip_field,4,xyz,0.120203
tulip_field,16,luv,0.232063
tulip_field,16,rgb,0.325359
tulip_field,16,xyz,0.255292
tulip_field,64,luv,0.374243
tulip_field,64,rgb,0.487810
tulip_field,64,xyz,0.415228
tulip_field,256,luv,0.508451
tulip_field,256,rgb,0.629107
tulip_field,256,xyz,0.539092
umbrellas,4,luv,0.137251
umbrellas,4,rgb,0.205396
umbrellas,4,xyz,0.155198
umbrellas,16,luv,0.256910
umbrellas,16,rgb,0.360565
umbrellas,16,xyz,0.330191
umbrellas,64,luv,0.408378
umbrellas,64,rgb,0.505913
umbrellas,64,xyz,0.453706
umbrellas,256,luv,0.542803
umbrellas,256,rgb,0.645460
umbrellas,256,xyz,0.589387
veggie_pizza,4,luv,0.086656
veggie_pizza,4,rgb,0.160426
veggie_pizza,4,xyz,0.178704
veggie_pizza,16,luv,0.268077
veggie_pizza,16,rgb,0.337699
veggie_pizza,16,xyz,0.405807
veggie_pizza,64,luv,0.436707
veggie_pizza,64,rgb,0.567556
veggie_pizza,64,xyz,0.593737
veggie_pizza,256,luv,0.582112
veggie_pizza,256,rgb,0.721350
veggie_pizza,256,xyz,0.693623
veggies,4,luv,0.160313
veggies,4,rgb,0.230664
veggies,4,xyz,0.191806
veggies,16,luv,0.240832
veggies,16,rgb,0.355283
veggies,16,xyz,0.338159
veggies,64,luv,0.403572
veggies,64,rgb,0.513145
veggies,64,xyz,0.462576
veggies,256,luv,0.556705
veggies,256,rgb,0.669385
veggies,256,xyz,0.601634
venetian_lagoon,4,luv,0.158112
venetian_lagoon,4,rgb,0.231281
venetian_lagoon,4,xyz,0.214495
venetian_lagoon,16,luv,0.328158
venetian_lagoon,16,rgb,0.403439
venetian_lagoon,16,xyz,0.376202
venetian_lagoon,64,luv,0.467679
venetian_lagoon,64,rgb,0.563013
venetian_lagoon,64,xyz,0.517802
venetian_lagoon,256,luv,0.595100
venetian_lagoon,256,rgb,0.698011
venetian_lagoon,256,xyz,0.639547
vintage_cars,4,luv,0.137600
vintage_cars,4,rgb,0.183324
vintage_cars,4,xyz,0.222691
vintage_cars,16,luv,0.276628
vintage_cars,16,rgb,0.371459
vintage_cars,16,xyz,0.343221
vintage_cars,64,luv,0.433394
vintage_cars,64,rgb,0.544537
vintage_cars,64,xyz,0.495069
vintage_cars,256,luv,0.581138
vintage_cars,256,rgb,0.687507
vintage_cars,256,xyz,0.645134
wooden_toys,4,luv,0.093082
wooden_toys,4,rgb,0.198198
wooden_toys,4,xyz,0.208880
wooden_toys,16,luv,0.237847
wooden_toys,16,rgb,0.331790
wooden_toys,16,xyz,0.336430
wooden_toys,64,luv,0.399976
wooden_toys,64,rgb,0.525422
wooden_toys,64,xyz,0.512377
wooden_toys,256,luv,0.564279
wooden_toys,256,rgb,0.699582
wooden_toys,256,xyz,0.671998
wool_carder_bee,4,luv,0.079350
wool_carder_bee,4,rgb,0.135196
wool_carder_bee,4,xyz,0.136825
wool_carder_bee,16,luv,0.204826
wool_carder_bee,16,rgb,0.282896
wool_carder_bee,16,xyz,0.266161
wool_carder_bee,64,luv,0.342221
wool_carder_bee,64,rgb,0.419739
wool_carder_bee,64,xyz,0.391717
wool_carder_bee,256,luv,0.471794
wool_carder_bee,256,rgb,0.569248
wool_carder_bee,256,xyz,0.508193
yasaka_pagoda,4,luv,0.242994
yasaka_pagoda,4,rgb,0.270452
yasaka_pagoda,4,xyz,0.238914
yasaka_pagoda,16,luv,0.405701
yasaka_pagoda,16,rgb,0.500991
yasaka_pagoda,16,xyz,0.469594
yasaka_pagoda,64,luv,0.578493
yasaka_pagoda,64,rgb,0.674967
yasaka_pagoda,64,xyz,0.635488
yasaka_pagoda,256,luv,0.718175
yasaka_pagoda,256,rgb,0.812084
yasaka_pagoda,256,xyz,0.771074
